,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,new_addition
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,False,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2025-11-03 14:09:05,2025-11-03 14:09:03,9857.0,64.0,1907.0,222.0,2628.0,268.0,5301.0,12693.0,2025-09-13 20:08:08,6.16.0,752009.0,5150.0,76.0,85083.0,85083.0,485.0,1.0,,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",31,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2025-11-05 12:52:46,2025-10-22 14:02:32,14033.0,676.0,723.0,134.0,482.0,160.0,2531.0,14069.0,,,,,,3473.0,3473.0,200.0,1.0,Apache-2.0,
5,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2025-11-05 23:52:09,2025-11-05 23:32:46,1877.0,109.0,303.0,53.0,1583.0,61.0,1145.0,4113.0,2025-11-06 00:06:24,2.68.3,298693.0,27153.0,100.0,,,124.0,2.0,Apache-2.0,
6,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,29,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2025-11-04 00:09:47,2025-11-04 00:09:47,4974.0,83.0,457.0,46.0,1427.0,162.0,780.0,3120.0,2025-08-26 00:54:26,0.3.25,857.0,12.0,35.0,838.0,838.0,189.0,2.0,BSD-3-Clause,
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,True,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,247.0,61.0,137.0,335.0,236.0,5984.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,25264.0,360.0,22.0,155.0,155.0,54.0,2.0,MPL-2.0,
8,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,23,False,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,104.0,30.0,40.0,22.0,160.0,974.0,2025-07-15 22:01:38,0.14.0.0,23310.0,291.0,20.0,2218.0,2218.0,24.0,3.0,,
9,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,False,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2025-11-03 23:30:03,2025-11-03 20:19:28,2547.0,66.0,235.0,27.0,1924.0,46.0,1003.0,1504.0,2025-09-20 03:57:32,8.4.1,,,91.0,,,122.0,3.0,,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,21,False,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2025-11-01 09:02:46,2025-10-15 07:12:11,184.0,3.0,53.0,10.0,144.0,23.0,39.0,1840.0,2025-10-15 06:39:23,0.29.0,86227.0,2874.0,34.0,63.0,63.0,12.0,3.0,,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2024-11-04 23:35:07,2024-11-04 23:35:07,218.0,,106.0,27.0,135.0,52.0,80.0,1888.0,2024-11-01 19:48:43,1.0.8,2149.0,28.0,23.0,,,43.0,3.0,BSD-2-Clause,
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,133.0,13.0,19.0,38.0,48.0,1145.0,2025-03-31 02:30:48,1.1.5,15042.0,334.0,13.0,,,5.0,3.0,MIT,
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",13,False,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2025-11-05 09:18:23,2025-11-05 09:18:15,230.0,70.0,4.0,7.0,18.0,6.0,15.0,124.0,2025-11-03 08:33:21,0.3.1-test,128.0,16.0,29.0,,,3.0,3.0,,True
14,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,True,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,204.0,2024-06-19 19:23:24,0.6.1,775.0,43.0,10.0,,,2.0,3.0,GPL-2.0,
