,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,False,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2025-11-25 09:51:07,2025-11-25 09:51:07,9878.0,71.0,1911.0,222.0,2638.0,267.0,5308.0,12737.0,2025-11-24 19:44:38,6.17.0,752169.0,5151.0,77.0,85292.0,85292.0,486.0,1.0,,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",31,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2025-11-27 13:10:48,2025-11-27 13:10:24,14116.0,759.0,730.0,134.0,484.0,165.0,2536.0,14154.0,,,,,,3494.0,3494.0,201.0,1.0,Apache-2.0,
5,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2025-11-26 06:56:11,2025-11-26 06:56:04,1906.0,87.0,306.0,53.0,1596.0,61.0,1149.0,4128.0,2025-11-25 22:57:56,2.71.1,233810.0,23381.0,100.0,,,125.0,2.0,Apache-2.0,
6,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,29,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2025-11-25 08:03:26,2025-11-25 08:03:26,4995.0,85.0,461.0,46.0,1447.0,168.0,781.0,3137.0,2025-08-26 00:54:26,0.3.25,890.0,12.0,35.0,841.0,841.0,190.0,2.0,BSD-3-Clause,
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,True,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,249.0,61.0,137.0,335.0,236.0,6011.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,25452.0,363.0,22.0,155.0,155.0,54.0,2.0,MPL-2.0,
8,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,23,False,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,104.0,30.0,40.0,23.0,160.0,987.0,2025-07-15 22:01:38,0.14.0.0,23588.0,294.0,20.0,2220.0,2220.0,24.0,3.0,,
9,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,False,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2025-11-26 03:53:00,2025-11-26 03:24:32,2581.0,82.0,236.0,27.0,1958.0,42.0,1011.0,1508.0,2025-11-24 05:29:03,8.5.0,,,92.0,,,124.0,3.0,,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,21,False,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2025-11-01 09:02:46,2025-10-15 07:12:11,184.0,3.0,56.0,10.0,144.0,25.0,40.0,1874.0,2025-10-15 06:39:23,0.29.0,89075.0,2969.0,34.0,63.0,63.0,12.0,3.0,,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2024-11-04 23:35:07,2024-11-04 23:35:07,218.0,,106.0,27.0,135.0,51.0,81.0,1905.0,2024-11-01 19:48:43,1.0.8,2227.0,29.0,23.0,,,43.0,3.0,BSD-2-Clause,
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,133.0,14.0,19.0,39.0,48.0,1151.0,2025-03-31 02:30:48,1.1.5,15191.0,337.0,13.0,,,5.0,3.0,MIT,
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,False,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2025-11-25 15:42:13,2025-11-25 01:15:34,255.0,93.0,4.0,7.0,19.0,2.0,21.0,127.0,2025-11-17 22:48:29,0.3.9,141.0,17.0,39.0,,,3.0,3.0,,1.0
14,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,True,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,204.0,2024-06-19 19:23:24,0.6.1,777.0,43.0,10.0,,,2.0,3.0,GPL-2.0,
