,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,pypi_id,pypi_url,pypi_monthly_downloads,new_addition
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,True,freezers,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2026-06-21 17:25:51,2026-06-21 17:25:49,10020.0,59.0,1919.0,223.0,2710.0,273.0,5355.0,13024.0,2026-06-13 14:19:32,6.21.0,753909.0,4927.0,81.0,89114.0,89114.0,495.0,1.0,,,,,
5,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.14. You feed it your..",31,True,compilers,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2026-06-24 07:38:22,2026-06-22 09:50:36,15057.0,423.0,768.0,138.0,572.0,161.0,2681.0,14946.0,,,,,,3881.0,3881.0,210.0,1.0,AGPL-3.0,,,,
6,conda-pack,https://github.com/conda/conda-pack,,Package conda environments for redistribution.,31,True,miscellaneous,conda/conda-pack,['written-in-python'],https://github.com/conda/conda-pack,2017-10-17 18:58:44,2026-06-23 04:24:50,2026-06-23 04:24:48,459.0,14.0,98.0,23.0,305.0,14.0,170.0,573.0,2026-06-16 11:09:52,0.9.2,,154219.0,7.0,3865.0,3865.0,42.0,1.0,BSD-3-Clause,conda-pack,https://pypi.org/project/conda-pack,154219.0,True
7,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",30,True,zipapps,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2026-06-24 14:37:05,2026-06-21 13:47:02,2036.0,51.0,308.0,51.0,1714.0,54.0,1181.0,4219.0,2026-06-24 14:57:29,2.96.1,1166924.0,129658.0,100.0,,,127.0,1.0,Apache-2.0,,,,
8,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,30,True,freezers,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2026-06-26 04:55:50,2026-06-26 04:55:50,5226.0,97.0,519.0,43.0,1690.0,153.0,867.0,3310.0,2026-05-06 03:27:01,0.4.2,1240.0,15.0,40.0,870.0,870.0,214.0,1.0,BSD-3-Clause,,,,
9,WinPython,https://github.com/winpython/winpython,,"A free Python-distribution for Windows platform, including prebuilt packages for Scientific Python.",26,True,miscellaneous,winpython/winpython,['written-in-python'],https://github.com/winpython/winpython,2014-09-20 21:47:26,2026-06-21 09:27:48,2026-06-21 09:27:48,3140.0,86.0,349.0,98.0,1302.0,79.0,609.0,2267.0,2026-05-17 07:45:31,17.4.20260511final,131967.0,3299.0,100.0,,,25.0,2.0,MIT,,,,True
10,py2app,https://github.com/ronaldoussoren/py2app,,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,26,True,freezers,ronaldoussoren/py2app,['written-in-python'],https://github.com/ronaldoussoren/py2app,2020-01-14 11:27:41,2026-05-26 06:49:48,2026-05-26 06:49:38,948.0,1.0,44.0,13.0,41.0,207.0,317.0,424.0,2026-02-13 20:49:19,0.28.10,,62815.0,10.0,5574.0,5574.0,31.0,2.0,,py2app,https://pypi.org/project/py2app,62815.0,True
11,fbs,https://github.com/mherrmann/fbs,,Create Python GUIs with Qt in minutes.,25,False,freezers,mherrmann/fbs,['written-in-python'],https://github.com/mherrmann/fbs,2017-12-15 09:07:55,2025-01-06 10:55:46,2025-01-06 10:54:48,511.0,,187.0,67.0,39.0,64.0,203.0,3928.0,2025-01-06 10:57:21,1.2.7,24.0,2107.0,100.0,927.0,927.0,14.0,2.0,GPL-3.0,fbs,https://pypi.org/project/fbs,2107.0,True
12,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,25,True,freezers,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2026-06-21 21:18:32,2026-06-21 21:10:56,1141.0,25.0,110.0,30.0,44.0,16.0,173.0,989.0,2026-06-21 21:18:32,0.14.2.0,26554.0,305.0,23.0,2249.0,2249.0,25.0,2.0,,,,,
13,constructor,https://github.com/conda/constructor,,tool for creating installers from conda packages.,25,True,freezers,conda/constructor,['written-in-python'],https://github.com/conda/constructor,2016-02-12 06:52:50,2026-06-22 22:21:42,2026-06-22 22:21:40,1513.0,62.0,173.0,26.0,822.0,40.0,409.0,497.0,2026-06-22 22:10:57,3.16.1,289.0,232.0,42.0,27.0,27.0,80.0,2.0,,constructor,https://pypi.org/project/constructor,229.0,True
14,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,False,freezers,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,255.0,59.0,137.0,336.0,237.0,6104.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,32931.0,427.0,22.0,159.0,159.0,54.0,2.0,MPL-2.0,,,,
15,staticx,https://github.com/JonathonReinhart/staticx,,Create static executable from dynamic executable.,23,True,freezers,JonathonReinhart/staticx,"['written-in-c', 'written-in-python']",https://github.com/JonathonReinhart/staticx,2017-05-27 18:37:54,2026-05-06 04:54:40,2026-05-06 03:50:59,693.0,79.0,44.0,3.0,147.0,54.0,116.0,419.0,2026-04-23 05:19:42,0.14.2,260.0,50423.0,22.0,169.0,169.0,6.0,3.0,,staticx,https://pypi.org/project/staticx,50420.0,True
16,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,True,freezers,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2026-06-21 23:19:05,2026-06-21 22:58:16,2724.0,59.0,239.0,26.0,2116.0,41.0,1028.0,1553.0,2026-04-13 05:59:38,8.6.4,,,100.0,,,125.0,3.0,,,,,
17,PyTauri,https://github.com/pytauri/pytauri,,Tauri binding for Python through Pyo3.,22,True,freezers,pytauri/pytauri,"['written-in-rust', 'written-in-python']",https://github.com/pytauri/pytauri,2024-10-16 15:19:48,2026-06-25 19:04:17,2025-09-10 12:34:29,249.0,,27.0,13.0,219.0,13.0,37.0,1391.0,2025-09-02 17:33:23,0.8.0,712.0,9309.0,80.0,15.0,15.0,5.0,3.0,Apache-2.0,pytauri,https://pypi.org/project/pytauri,9270.0,True
