,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,new_addition,pypi_id,pypi_url,pypi_monthly_downloads,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,True,freezers,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2026-06-29 16:08:51,2026-06-29 16:08:51,10033.0,71.0,1919.0,223.0,2712.0,273.0,5356.0,13029.0,2026-06-13 14:19:32,6.21.0,753961.0,4895.0,81.0,89237.0,89237.0,495.0,1.0,,,,,,
5,RustPython,https://github.com/RustPython/RustPython,,A Python Interpreter written in Rust.,33,True,freezers,RustPython/RustPython,['written-in-rust'],https://github.com/RustPython/RustPython,2018-05-28 19:27:01,2026-07-02 07:41:31,2026-07-02 07:41:31,16903.0,557.0,1418.0,168.0,6772.0,287.0,1073.0,22154.0,,,1201.0,75.0,1.0,896.0,896.0,498.0,1.0,MIT,True,,,,
6,auto-py-to-exe,https://github.com/brentvollebregt/auto-py-to-exe,,Converts .py to .exe using a simple graphical interface.,32,True,freezers,brentvollebregt/auto-py-to-exe,['written-in-python'],https://github.com/brentvollebregt/auto-py-to-exe,2018-02-09 23:32:35,2026-05-08 05:37:05,2026-05-08 05:37:05,522.0,7.0,801.0,92.0,85.0,1.0,418.0,4953.0,2026-04-19 09:46:28,2.50.1,29616.0,85050.0,97.0,6522.0,6522.0,39.0,1.0,MIT,True,auto-py-to-exe,https://pypi.org/project/auto-py-to-exe,84754.0,
7,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.14. You feed it your..",31,True,compilers,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2026-07-02 06:21:51,2026-06-22 09:50:36,15057.0,421.0,770.0,137.0,575.0,162.0,2681.0,14970.0,,,,,,3905.0,3905.0,210.0,1.0,AGPL-3.0,,,,,
8,conda-pack,https://github.com/conda/conda-pack,,Package conda environments for redistribution.,31,True,miscellaneous,conda/conda-pack,['written-in-python'],https://github.com/conda/conda-pack,2017-10-17 18:58:44,2026-06-29 19:34:10,2026-06-29 19:34:08,460.0,15.0,98.0,23.0,306.0,14.0,170.0,575.0,2026-06-16 11:09:52,0.9.2,,150438.0,7.0,3865.0,3865.0,42.0,1.0,BSD-3-Clause,,conda-pack,https://pypi.org/project/conda-pack,150438.0,
9,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",30,True,zipapps,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2026-06-27 02:59:40,2026-06-27 02:59:40,2037.0,48.0,306.0,51.0,1714.0,55.0,1181.0,4218.0,2026-06-24 14:57:29,2.96.1,1264329.0,126432.0,100.0,,,127.0,1.0,Apache-2.0,,,,,
10,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,30,True,freezers,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2026-07-02 02:27:43,2026-07-02 02:26:50,5237.0,101.0,519.0,43.0,1702.0,152.0,868.0,3312.0,2026-07-02 03:50:07,0.4.3,1251.0,15.0,41.0,870.0,870.0,215.0,2.0,BSD-3-Clause,,,,,
11,Codon,https://github.com/exaloop/codon,,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",26,True,compilers,exaloop/codon,['written-in-cpp'],https://github.com/exaloop/codon,2021-09-27 17:56:34,2026-07-01 21:32:34,2026-06-30 14:53:19,963.0,16.0,603.0,136.0,201.0,95.0,438.0,16807.0,2026-03-04 00:09:30,0.19.6,58934.0,1370.0,20.0,,,21.0,2.0,Apache-2.0,True,,,,
12,WinPython,https://github.com/winpython/winpython,,"A free Python-distribution for Windows platform, including prebuilt packages for Scientific Python.",26,True,miscellaneous,winpython/winpython,['written-in-python'],https://github.com/winpython/winpython,2014-09-20 21:47:26,2026-06-28 08:59:19,2026-06-28 08:29:45,3145.0,87.0,348.0,98.0,1304.0,78.0,610.0,2269.0,2026-05-17 07:45:31,17.4.20260511final,135230.0,3298.0,100.0,,,25.0,1.0,MIT,,,,,
13,py2app,https://github.com/ronaldoussoren/py2app,,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,26,True,freezers,ronaldoussoren/py2app,['written-in-python'],https://github.com/ronaldoussoren/py2app,2020-01-14 11:27:41,2026-05-26 06:49:48,2026-05-26 06:49:38,948.0,1.0,44.0,13.0,41.0,207.0,317.0,424.0,2026-02-13 20:49:19,0.28.10,,66222.0,10.0,5576.0,5576.0,31.0,2.0,,,py2app,https://pypi.org/project/py2app,66222.0,
14,fbs,https://github.com/mherrmann/fbs,,Create Python GUIs with Qt in minutes.,25,True,freezers,mherrmann/fbs,['written-in-python'],https://github.com/mherrmann/fbs,2017-12-15 09:07:55,2025-01-06 10:55:46,2025-01-06 10:54:48,511.0,,187.0,67.0,39.0,64.0,203.0,3928.0,2025-01-06 10:57:21,1.2.7,24.0,2013.0,100.0,927.0,927.0,14.0,2.0,GPL-3.0,,fbs,https://pypi.org/project/fbs,2013.0,
15,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,25,True,freezers,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2026-06-21 21:18:32,2026-06-21 21:10:56,1141.0,25.0,111.0,30.0,44.0,16.0,173.0,989.0,2026-06-21 21:18:32,0.14.2.0,26740.0,303.0,23.0,2249.0,2249.0,25.0,2.0,,,,,,
16,constructor,https://github.com/conda/constructor,,tool for creating installers from conda packages.,25,True,freezers,conda/constructor,['written-in-python'],https://github.com/conda/constructor,2016-02-12 06:52:50,2026-07-01 15:00:27,2026-07-01 15:00:26,1518.0,63.0,173.0,26.0,829.0,41.0,409.0,498.0,2026-06-22 22:10:57,3.16.1,290.0,229.0,42.0,27.0,27.0,80.0,2.0,,,constructor,https://pypi.org/project/constructor,226.0,
17,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,True,freezers,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,255.0,59.0,137.0,336.0,237.0,6109.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,33254.0,426.0,22.0,159.0,159.0,54.0,2.0,MPL-2.0,,,,,
