,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,pypi_id,pypi_url,pypi_monthly_downloads,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,True,freezers,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2026-07-07 11:43:33,2026-07-07 11:43:33,10035.0,71.0,1920.0,223.0,2714.0,272.0,5355.0,13035.0,2026-06-13 14:19:32,6.21.0,754007.0,4896.0,81.0,89394.0,89394.0,494.0,1.0,,,,,
5,RustPython,https://github.com/RustPython/RustPython,,A Python Interpreter written in Rust.,33,True,freezers,RustPython/RustPython,['written-in-rust'],https://github.com/RustPython/RustPython,2018-05-28 19:27:01,2026-07-09 12:42:08,2026-07-09 12:42:08,16939.0,581.0,1422.0,167.0,6805.0,287.0,1079.0,22164.0,,,1263.0,78.0,1.0,896.0,896.0,498.0,1.0,MIT,,,,
6,auto-py-to-exe,https://github.com/brentvollebregt/auto-py-to-exe,,Converts .py to .exe using a simple graphical interface.,32,True,freezers,brentvollebregt/auto-py-to-exe,['written-in-python'],https://github.com/brentvollebregt/auto-py-to-exe,2018-02-09 23:32:35,2026-07-06 08:00:01,2026-07-06 08:00:01,523.0,7.0,804.0,92.0,87.0,1.0,418.0,4953.0,2026-04-19 09:46:28,2.50.1,29730.0,78044.0,97.0,6522.0,6522.0,40.0,1.0,MIT,auto-py-to-exe,https://pypi.org/project/auto-py-to-exe,77747.0,
7,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.14. You feed it your..",31,True,compilers,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2026-07-08 13:35:53,2026-06-22 09:50:36,15057.0,412.0,773.0,137.0,578.0,163.0,2681.0,14973.0,,,,,,3922.0,3922.0,210.0,1.0,AGPL-3.0,,,,
8,conda-pack,https://github.com/conda/conda-pack,,Package conda environments for redistribution.,31,True,miscellaneous,conda/conda-pack,['written-in-python'],https://github.com/conda/conda-pack,2017-10-17 18:58:44,2026-07-06 16:37:31,2026-06-29 19:34:08,460.0,15.0,98.0,23.0,306.0,14.0,170.0,574.0,2026-06-16 11:09:52,0.9.2,,152781.0,7.0,3866.0,3866.0,42.0,1.0,BSD-3-Clause,conda-pack,https://pypi.org/project/conda-pack,152781.0,
9,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",30,True,zipapps,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2026-07-04 02:02:42,2026-07-04 01:34:40,2040.0,49.0,306.0,51.0,1717.0,53.0,1183.0,4216.0,2026-07-04 02:35:41,2.97.1,660298.0,73366.0,100.0,,,127.0,1.0,Apache-2.0,,,,
10,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,30,True,freezers,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2026-07-08 07:47:00,2026-07-08 07:46:59,5247.0,104.0,519.0,43.0,1711.0,149.0,872.0,3315.0,2026-07-08 01:41:12,0.4.4,1268.0,16.0,42.0,874.0,874.0,215.0,2.0,BSD-3-Clause,,,,
11,Codon,https://github.com/exaloop/codon,,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",26,True,compilers,exaloop/codon,['written-in-cpp'],https://github.com/exaloop/codon,2021-09-27 17:56:34,2026-07-06 13:51:19,2026-07-06 13:51:19,967.0,19.0,602.0,136.0,203.0,96.0,440.0,16805.0,2026-03-04 00:09:30,0.19.6,59227.0,1377.0,20.0,,,21.0,2.0,Apache-2.0,,,,
12,WinPython,https://github.com/winpython/winpython,,"A free Python-distribution for Windows platform, including prebuilt packages for Scientific Python.",26,True,miscellaneous,winpython/winpython,['written-in-python'],https://github.com/winpython/winpython,2014-09-20 21:47:26,2026-07-04 16:35:10,2026-07-04 16:35:10,3147.0,77.0,348.0,98.0,1305.0,78.0,611.0,2269.0,2026-05-17 07:45:31,17.4.20260511final,138481.0,3377.0,100.0,,,25.0,1.0,MIT,,,,
13,py2app,https://github.com/ronaldoussoren/py2app,,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,26,True,freezers,ronaldoussoren/py2app,['written-in-python'],https://github.com/ronaldoussoren/py2app,2020-01-14 11:27:41,2026-05-26 06:49:48,2026-05-26 06:49:38,948.0,1.0,44.0,13.0,41.0,208.0,317.0,424.0,2026-02-13 20:49:19,0.28.10,,67397.0,10.0,5576.0,5576.0,31.0,2.0,,py2app,https://pypi.org/project/py2app,67397.0,
14,fbs,https://github.com/mherrmann/fbs,,Create Python GUIs with Qt in minutes.,25,True,freezers,mherrmann/fbs,['written-in-python'],https://github.com/mherrmann/fbs,2017-12-15 09:07:55,2025-01-06 10:55:46,2025-01-06 10:54:48,511.0,,187.0,67.0,39.0,64.0,203.0,3927.0,2025-01-06 10:57:21,1.2.7,24.0,2318.0,100.0,927.0,927.0,14.0,2.0,GPL-3.0,fbs,https://pypi.org/project/fbs,2318.0,
15,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,25,True,freezers,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2026-06-21 21:18:32,2026-06-21 21:10:56,1141.0,25.0,111.0,30.0,44.0,16.0,173.0,989.0,2026-06-21 21:18:32,0.14.2.0,26822.0,304.0,23.0,2250.0,2250.0,25.0,2.0,,,,,
16,constructor,https://github.com/conda/constructor,,tool for creating installers from conda packages.,25,True,freezers,conda/constructor,['written-in-python'],https://github.com/conda/constructor,2016-02-12 06:52:50,2026-07-08 20:22:24,2026-07-08 20:22:23,1524.0,59.0,173.0,26.0,833.0,41.0,409.0,497.0,2026-07-07 17:22:17,3.16.2,290.0,162.0,43.0,27.0,27.0,81.0,2.0,,constructor,https://pypi.org/project/constructor,159.0,
17,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,True,freezers,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,255.0,59.0,137.0,336.0,237.0,6111.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,33619.0,431.0,22.0,159.0,159.0,54.0,2.0,MPL-2.0,,,,
