,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,
4,conda-pack,{},,,12,False,miscellaneous,conda/conda-pack,conda-pack,['written-in-python'],3880.0,3880.0,42.0,https://pypi.org/project/conda-pack,163666.0,163666.0,1.0,
5,auto-py-to-exe,{},,,12,False,freezers,brentvollebregt/auto-py-to-exe,auto-py-to-exe,['written-in-python'],6529.0,6529.0,41.0,https://pypi.org/project/auto-py-to-exe,60759.0,60759.0,1.0,
6,py2app,{},,,11,False,freezers,ronaldoussoren/py2app,py2app,['written-in-python'],5590.0,5590.0,31.0,https://pypi.org/project/py2app,53708.0,53708.0,1.0,
7,dmgbuild,{},,,11,False,miscellaneous,dmgbuild/dmgbuild,dmgbuild,['written-in-python'],1056.0,1056.0,28.0,https://pypi.org/project/dmgbuild,150996.0,150996.0,1.0,
8,pyinstaller,{},,,10,False,freezers,pyinstaller/pyinstaller,,['written-in-c'],90783.0,90783.0,499.0,,,,1.0,
9,pynsist,{},,,9,False,freezers,takluyver/pynsist,pynsist,['written-in-python'],259.0,259.0,32.0,https://pypi.org/project/pynsist,10871.0,10871.0,2.0,
10,nuitka,{},,,8,False,compilers,Nuitka/Nuitka,,"['written-in-c', 'written-in-python']",4015.0,4015.0,212.0,,,,1.0,
11,briefcase,{},,,7,False,freezers,beeware/briefcase,,['written-in-python'],882.0,882.0,223.0,,,,2.0,
12,fbs,{},,,7,False,freezers,mherrmann/fbs,fbs,['written-in-python'],928.0,928.0,14.0,https://pypi.org/project/fbs,728.0,728.0,2.0,
13,staticx,{},,,7,False,freezers,JonathonReinhart/staticx,staticx,"['written-in-c', 'written-in-python']",172.0,172.0,6.0,https://pypi.org/project/staticx,32446.0,32446.0,2.0,
14,RustPython,{},,,7,False,freezers,RustPython/RustPython,,['written-in-rust'],896.0,896.0,529.0,,,,2.0,
15,py2exe,{},,,6,False,freezers,py2exe/py2exe,,"['written-in-c', 'written-in-python']",2252.0,2252.0,25.0,,,,2.0,
16,stickytape,{},,,6,False,miscellaneous,mwilliamson/stickytape,stickytape,['written-in-python'],65.0,65.0,4.0,https://pypi.org/project/stickytape,2910.0,2910.0,2.0,
17,constructor,{},,,5,False,freezers,conda/constructor,constructor,['written-in-python'],28.0,28.0,81.0,https://pypi.org/project/constructor,201.0,201.0,2.0,1.0
18,PyTauri,{},,,5,False,freezers,pytauri/pytauri,pytauri,"['written-in-rust', 'written-in-python']",15.0,15.0,5.0,https://pypi.org/project/pytauri,5356.0,5356.0,2.0,
19,PyOxidizer,{},,,4,False,freezers,indygreg/PyOxidizer,,['written-in-rust'],159.0,159.0,54.0,,,,3.0,
20,XAR,{},,,4,False,miscellaneous,facebookincubator/xar,xar,['written-in-python'],,,44.0,https://pypi.org/project/xar,4189.0,4189.0,2.0,
21,py2wasm,{},,,4,False,compilers,wasmerio/py2wasm,py2wasm,['written-in-python'],,,170.0,https://pypi.org/project/py2wasm,289.0,289.0,2.0,
22,bbfreeze,{},,,4,False,freezers,schmir/bbfreeze,bbfreeze,['written-in-python'],31.0,31.0,15.0,https://pypi.org/project/bbfreeze,277.0,277.0,3.0,
23,py2many,{},,,4,False,compilers,py2many/py2many,py2many,['written-in-python'],36.0,36.0,20.0,https://pypi.org/project/py2many,582.0,582.0,2.0,
24,pyapp,{},,,3,False,launchers,ofek/pyapp,,['written-in-rust'],63.0,63.0,14.0,,,,1.0,
25,python-appimage,{},,,3,False,freezers,niess/python-appimage,python-appimage,['written-in-python'],,,11.0,https://pypi.org/project/python-appimage,2893.0,2893.0,3.0,
26,macOS-Pkg-Builder,{},,,3,False,miscellaneous,ripeda/macOS-Pkg-Builder,macos-pkg-builder,['written-in-python'],,,,https://pypi.org/project/macos-pkg-builder,5067.0,5067.0,2.0,
27,make-deb,{},,,3,False,miscellaneous,nylas/make-deb,make-deb,['written-in-python'],27.0,27.0,4.0,https://pypi.org/project/make-deb,25.0,25.0,2.0,
28,portable-python,{},,,2,False,miscellaneous,bjia56/portable-python,,['written-in-python'],13.0,13.0,4.0,,,,3.0,
29,zipapps,{},,,2,False,zipapps,ClericPy/zipapps,zipapps,['written-in-python'],,,2.0,https://pypi.org/project/zipapps,3532.0,3532.0,1.0,
30,pyempaq,{},,,2,False,zipapps,facundobatista/pyempaq,pyempaq,['written-in-python'],6.0,6.0,5.0,https://pypi.org/project/pyempaq,45.0,45.0,1.0,
31,pyqtdeploy,{},,,2,False,freezers,Python-PyQt/pyqtdeploy,pyqtdeploy,['written-in-python'],,,,https://pypi.org/project/pyqtdeploy,250.0,250.0,3.0,
32,pyfuze,{},,,2,False,freezers,TanixLu/pyfuze,pyfuze,"['written-in-python', 'written-in-c']",2.0,2.0,,https://pypi.org/project/pyfuze,367.0,367.0,3.0,
33,pyship,{},,,2,False,freezers,jamesabel/pyship,pyship,['written-in-python'],13.0,13.0,2.0,https://pypi.org/project/pyship,116.0,116.0,3.0,-1.0
34,pymakeself,{},,,2,False,miscellaneous,gammazero/pymakeself,pymakeself,['written-in-python'],7.0,7.0,3.0,https://pypi.org/project/pymakeself,107.0,107.0,3.0,
35,pyportable-installer,{},,,2,False,freezers,likianta/pyportable-installer,pyportable-installer,['written-in-python'],4.0,4.0,,https://pypi.org/project/pyportable-installer,88.0,88.0,3.0,
36,shiv,{},,,1,False,zipapps,linkedin/shiv,,['written-in-python'],,,45.0,,,,3.0,
37,pex,{},,,1,False,zipapps,pex-tool/pex,,['written-in-python'],,,127.0,,,,3.0,
38,cx_Freeze,{},,,1,False,freezers,marcelotduarte/cx_Freeze,,['written-in-python'],,,126.0,,,,3.0,
39,PyCrucible,{},,,1,False,launchers,razorblade23/PyCrucible,,['written-in-rust'],3.0,3.0,4.0,,,,3.0,
40,python-build-standalone,{},,,1,False,miscellaneous,astral-sh/python-build-standalone,,"['written-in-python', 'written-in-rust']",1.0,1.0,60.0,,,,3.0,
41,py2static,{},,,1,False,freezers,joaompinto/py2static,py2static,['written-in-python'],,,,https://pypi.org/project/py2static,26.0,26.0,3.0,
42,cosmofy,{},,,1,False,freezers,metaist/cosmofy,cosmofy,['written-in-python'],2.0,2.0,,https://pypi.org/project/cosmofy,29.0,29.0,3.0,
43,py-app-standalone,{},,,1,False,freezers,jlevy/py-app-standalone,py-app-standalone,['written-in-python'],,,,https://pypi.org/project/py-app-standalone,63.0,63.0,3.0,
44,WinPython,{},,,1,False,miscellaneous,winpython/winpython,,['written-in-python'],,,26.0,,,,3.0,
45,Codon,{},,,1,False,compilers,exaloop/codon,,['written-in-cpp'],,,21.0,,,,3.0,
46,pinliner,{},,,1,False,miscellaneous,Akrog/pinliner,pinliner,['written-in-python'],6.0,6.0,2.0,https://pypi.org/project/pinliner,57.0,57.0,3.0,
47,Shed Skin,{},,,1,False,compilers,shedskin/shedskin,,['written-in-python'],,,28.0,,,,3.0,
